country,region,population,article_title,revision_id,article_quality
Afghanistan,SOUTH ASIA,42.4,Abdul Karim Misaq,1235405154,Stub
Afghanistan,SOUTH ASIA,42.4,Ali Mohammad (politician),1136630194,Stub
Afghanistan,SOUTH ASIA,42.4,Nasruddin Mohseni,1136630129,Start
Afghanistan,SOUTH ASIA,42.4,Davood Moradian,1239319380,Stub
Afghanistan,SOUTH ASIA,42.4,Zalmai Mujadidi,1223903677,Start
Afghanistan,SOUTH ASIA,42.4,Sardar Mohammad Nadir Naeem,1204109653,Stub
Afghanistan,SOUTH ASIA,42.4,Daoud Naji,1247131367,Start
Afghanistan,SOUTH ASIA,42.4,Gholam Rabani Nasher,1136534788,Stub
Afghanistan,SOUTH ASIA,42.4,Ghulam Faroq Nijrabi,1136614778,Stub
Afghanistan,SOUTH ASIA,42.4,Zabih-U-llah Ghazi Noristani,1136614682,Start
Afghanistan,SOUTH ASIA,42.4,Mohammed Tahir Omar,1185088733,Stub
Afghanistan,SOUTH ASIA,42.4,Mohammed Qalamuddin,1178097642,Stub
Afghanistan,SOUTH ASIA,42.4,Ghulam Mohammad Rigi,1129192917,Stub
Afghanistan,SOUTH ASIA,42.4,Ghulam Hassan Safi,1176507815,Stub
Afghanistan,SOUTH ASIA,42.4,Hanifa Safi,1123824802,Stub
Afghanistan,SOUTH ASIA,42.4,Mohammed Zia Salehi,1225457074,Stub
Afghanistan,SOUTH ASIA,42.4,Abdul Majid Samim,1225425205,Stub
Afghanistan,SOUTH ASIA,42.4,Saber Sangar,1227951669,Stub
Afghanistan,SOUTH ASIA,42.4,Sayed Nasim Mihanparast,1172646418,Stub
Afghanistan,SOUTH ASIA,42.4,Suhail Shaheen,1198363158,Start
Afghanistan,SOUTH ASIA,42.4,Fazal Hadi Shinwari,1242412237,GA
Afghanistan,SOUTH ASIA,42.4,Baktash Siawash,1250972393,Stub
Afghanistan,SOUTH ASIA,42.4,Hasan Ali Sultani,1136614726,Stub
Afghanistan,SOUTH ASIA,42.4,Mohammad Hashem Taufiqui,1233490009,Start
Afghanistan,SOUTH ASIA,42.4,Pacha Gul Wafadar,1227179979,Stub
Afghanistan,SOUTH ASIA,42.4,Wahidullah Waissi,1232389768,C
Afghanistan,SOUTH ASIA,42.4,Ahmadullah Wasiq,1171042170,Start
Afghanistan,SOUTH ASIA,42.4,Gul Ahmmad Yama,1136614561,Start
Afghanistan,SOUTH ASIA,42.4,Abdul Salam Zaeef,1243758857,GA
Afghanistan,SOUTH ASIA,42.4,Abdul Zahir (Konar Education Minister),1126667481,Stub
Afghanistan,SOUTH ASIA,42.4,Mohammed Zaman,1229734414,Start
Afghanistan,SOUTH ASIA,42.4,Ziauddin (Afghan militia leader),1150044800,Start
Afghanistan,SOUTH ASIA,42.4,Qari Ziauddin,1245217124,Start
Afghanistan,SOUTH ASIA,42.4,Abdul Ghafor Zori,1136614520,Stub
Albania,SOUTHERN EUROPE,2.7,Ali Pasha of Gusinje,1244421894,GA
Albania,SOUTHERN EUROPE,2.7,Ylli Asllani,1221605713,Start
Albania,SOUTHERN EUROPE,2.7,Azis Tahir Ajdonati,1192928746,Stub
Albania,SOUTHERN EUROPE,2.7,Bislim Bajgora,1217284690,C
Albania,SOUTHERN EUROPE,2.7,Kastriot Berissa,1244463139,Start
Albania,SOUTHERN EUROPE,2.7,Bardhok Biba,1250227174,C
Albania,SOUTHERN EUROPE,2.7,Kostandin Boshnjaku,1250227994,C
Albania,SOUTHERN EUROPE,2.7,Spartak Braho,1224650124,Start
Albania,SOUTHERN EUROPE,2.7,Safet Butka,1189442848,C
Albania,SOUTHERN EUROPE,2.7,Uran Butka,1196422551,Start
Albania,SOUTHERN EUROPE,2.7,Refo Çapari,1222381064,Start
Albania,SOUTHERN EUROPE,2.7,Neritan Ceka,1184807608,Start
Albania,SOUTHERN EUROPE,2.7,Hysni Curri,1198914812,Start
Albania,SOUTHERN EUROPE,2.7,Ibrahim Dalliu,1248264998,Start
Albania,SOUTHERN EUROPE,2.7,Niazi Demi,1209346411,Stub
Albania,SOUTHERN EUROPE,2.7,Abdurrahman Dibra,1244008227,Start
Albania,SOUTHERN EUROPE,2.7,Bujar Dida,1222151681,C
Albania,SOUTHERN EUROPE,2.7,Ahmed Dino,1209165678,Stub
Albania,SOUTHERN EUROPE,2.7,Rasih Dino,1180949327,Stub
Albania,SOUTHERN EUROPE,2.7,Ferhat Bey Draga,1236738861,C
Albania,SOUTHERN EUROPE,2.7,Nexhip Draga,1236738502,GA
Albania,SOUTHERN EUROPE,2.7,Aqif Pasha Elbasani,1243882903,GA
Albania,SOUTHERN EUROPE,2.7,Abas Ermenji,1240801210,Start
Albania,SOUTHERN EUROPE,2.7,Qamil Musa Haxhi Feza,1198224146,Stub
Albania,SOUTHERN EUROPE,2.7,Themistokli Gërmenji,1241037317,C
Albania,SOUTHERN EUROPE,2.7,Sabri Godo,1230739582,C
Albania,SOUTHERN EUROPE,2.7,Mihal Grameno,1226635783,C
Albania,SOUTHERN EUROPE,2.7,Aćif Hadžiahmetović,1229938943,GA
Albania,SOUTHERN EUROPE,2.7,High Council of Regency,1245450388,C
Albania,SOUTHERN EUROPE,2.7,Kurt Agë Kadiu,1244486529,Stub
Albania,SOUTHERN EUROPE,2.7,Mehmed Kalakula,1145510350,Stub
Albania,SOUTHERN EUROPE,2.7,Alfred Karamuço,1098236555,Stub
Albania,SOUTHERN EUROPE,2.7,Ibrahim Karbunara,1235824719,C
Albania,SOUTHERN EUROPE,2.7,Ali Këlcyra,1227369252,Start
Albania,SOUTHERN EUROPE,2.7,Bajram Kelmendi,1237006808,Start
Albania,SOUTHERN EUROPE,2.7,Kristo Kirka,1237950375,C
Albania,SOUTHERN EUROPE,2.7,Elez Koçi,1174010569,Start
Albania,SOUTHERN EUROPE,2.7,Xhelal Koprëncka,1209148780,Stub
Albania,SOUTHERN EUROPE,2.7,Kryeziu family,1236739222,Start
Albania,SOUTHERN EUROPE,2.7,Artur Kuko,1112281132,Stub
Albania,SOUTHERN EUROPE,2.7,Xhavid Leskoviku,1180950536,Start
Albania,SOUTHERN EUROPE,2.7,Sabit Lulo,1180950488,Stub
Albania,SOUTHERN EUROPE,2.7,Gjon Markagjoni,1227760361,C
Albania,SOUTHERN EUROPE,2.7,Tefik Mborja,1234673487,Start
Albania,SOUTHERN EUROPE,2.7,Hysni Milloshi,1218412314,Start
Albania,SOUTHERN EUROPE,2.7,Musa Qazimi,1235824584,GA
Albania,SOUTHERN EUROPE,2.7,Mustafa Ndroqi,1198219291,Stub
Albania,SOUTHERN EUROPE,2.7,Behxhet Nepravishta,1180949734,Stub
Albania,SOUTHERN EUROPE,2.7,Adrian Neritani,1196135017,Start
Albania,SOUTHERN EUROPE,2.7,Sali Nivica,1240539074,Start
Albania,SOUTHERN EUROPE,2.7,Thoma Orologa,1180949774,Start
Albania,SOUTHERN EUROPE,2.7,Bedri Pejani,1220757655,C
Albania,SOUTHERN EUROPE,2.7,Kadri Prishtina,1198167947,Start
Albania,SOUTHERN EUROPE,2.7,Ymer Prizreni,1215667416,Start
Albania,SOUTHERN EUROPE,2.7,Avni Rustemi,1229276965,Start
Albania,SOUTHERN EUROPE,2.7,Chatin Sarachi,1141930406,C
Albania,SOUTHERN EUROPE,2.7,Nebi Sefa,1244486537,Stub
Albania,SOUTHERN EUROPE,2.7,Eduard Shalsi,1173107489,Start
Albania,SOUTHERN EUROPE,2.7,Ylli Vesel Shehu,1250811470,Stub
Albania,SOUTHERN EUROPE,2.7,Athanas Shundi,1220369492,C
Albania,SOUTHERN EUROPE,2.7,Xhelal Sveçla,1217259369,Start
Albania,SOUTHERN EUROPE,2.7,Mehmet Tahsini,1239924043,Stub
Albania,SOUTHERN EUROPE,2.7,Ibrahim Temo,1228151428,GA
Albania,SOUTHERN EUROPE,2.7,Afrim Tole,1241836925,Stub
Albania,SOUTHERN EUROPE,2.7,Syreja Vlora,1186986269,Start
Albania,SOUTHERN EUROPE,2.7,Visarion Xhuvani,1135323365,C
Albania,SOUTHERN EUROPE,2.7,Visar Ymeri,1248230838,Stub
Albania,SOUTHERN EUROPE,2.7,Abdyl Ypi,1220281072,Stub
Albania,SOUTHERN EUROPE,2.7,Xhezair Zaganjori,1143896123,Start
Albania,SOUTHERN EUROPE,2.7,Menduh Zavalani,1235824554,FA
Algeria,NORTHERN AFRICA,46.8,Abdelkader Zoukh,1250270534,Start
Algeria,NORTHERN AFRICA,46.8,Chaâbane Aït Abderrahim,1234096174,Start
Algeria,NORTHERN AFRICA,46.8,Ali Aoun,1214835889,Start
Algeria,NORTHERN AFRICA,46.8,Basma Azouar,1192088820,Stub
Algeria,NORTHERN AFRICA,46.8,Mohamed Seghir Babes,1226280389,Stub
Algeria,NORTHERN AFRICA,46.8,Noureddine Bahbouh,1099284595,Stub
Algeria,NORTHERN AFRICA,46.8,Lamine Bechichi,1111537825,Stub
Algeria,NORTHERN AFRICA,46.8,Aïssa Bekkai,1219685755,Stub
Algeria,NORTHERN AFRICA,46.8,Abdelhakim Belabed,1218173615,Start
Algeria,NORTHERN AFRICA,46.8,Mohamed Tarek Belaribi,1241671793,Start
Algeria,NORTHERN AFRICA,46.8,Kamel Beldjoud,1214832676,Stub
Algeria,NORTHERN AFRICA,46.8,Aboubakr Belkaid,1176411375,Start
Algeria,NORTHERN AFRICA,46.8,Youcef Belmehdi,1239235131,Stub
Algeria,NORTHERN AFRICA,46.8,Mohamed Cherif Belmihoub,1226553342,Start
Algeria,NORTHERN AFRICA,46.8,Mohamed Belouizdad,1169278443,Start
Algeria,NORTHERN AFRICA,46.8,Benaouda Hadj Hacène Bachterzi,1237478919,Stub
Algeria,NORTHERN AFRICA,46.8,Souad Bendjaballah,1134649751,Stub
Algeria,NORTHERN AFRICA,46.8,Abdelkrim Benmbarek,1245801726,Stub
Algeria,NORTHERN AFRICA,46.8,Mohamed Bensalam,1235672021,Stub
Algeria,NORTHERN AFRICA,46.8,Fayçal Bentaleb,1217131488,Stub
Algeria,NORTHERN AFRICA,46.8,Ahmed Bidani,1212186965,Start
Algeria,NORTHERN AFRICA,46.8,Kamel Bidari,1249963763,GA
Algeria,NORTHERN AFRICA,46.8,Rachid Bladehane,1186319378,Stub
Algeria,NORTHERN AFRICA,46.8,Saïd Boualam,1240883461,Start
Algeria,NORTHERN AFRICA,46.8,Rabah Bouaziz,1232492563,Start
Algeria,NORTHERN AFRICA,46.8,Abdeslam Bouchouareb,1203569345,Stub
Algeria,NORTHERN AFRICA,46.8,Ibrahim Boughali,1230623499,Stub
Algeria,NORTHERN AFRICA,46.8,Yahia Boukhari,1186319308,Stub
Algeria,NORTHERN AFRICA,46.8,Mohamed Bouslimani,1224118485,Stub
Algeria,NORTHERN AFRICA,46.8,Foued Chehat,1242037866,Stub
Algeria,NORTHERN AFRICA,46.8,Hamza Al Sid Cheikh,1248318178,Stub
Algeria,NORTHERN AFRICA,46.8,Hocine Cherhabil,1242619010,Stub
Algeria,NORTHERN AFRICA,46.8,Abderrahmane Meziane Chérif,1220757834,Start
Algeria,NORTHERN AFRICA,46.8,Saïd Chibane,1230435685,Stub
Algeria,NORTHERN AFRICA,46.8,Brahim Chibout,1053460621,Stub
Algeria,NORTHERN AFRICA,46.8,Youcef Chorfa,1214834266,Start
Algeria,NORTHERN AFRICA,46.8,Fazia Dahleb,1244337610,Stub
Algeria,NORTHERN AFRICA,46.8,Taha Derbal,1213344636,Stub
Algeria,NORTHERN AFRICA,46.8,Nassim Diafat,1213342432,Stub
Algeria,NORTHERN AFRICA,46.8,Mokhtar Didouche,1227200392,Start
Algeria,NORTHERN AFRICA,46.8,Bouras Djamel,1226437538,Stub
Algeria,NORTHERN AFRICA,46.8,Fatiha Serour,1218302579,Start
Algeria,NORTHERN AFRICA,46.8,Ahmed Hamiani,1226452639,Stub
Algeria,NORTHERN AFRICA,46.8,Nadir Kassab,1226271746,Stub
Algeria,NORTHERN AFRICA,46.8,Brahim Djamel Kassali,1172500304,Start
Algeria,NORTHERN AFRICA,46.8,Kaoutar Krikou,1213795388,Stub
Algeria,NORTHERN AFRICA,46.8,Sassi Lamouri,1181986973,Stub
Algeria,NORTHERN AFRICA,46.8,Mohamed Maghlaoui,1053469610,Stub
Algeria,NORTHERN AFRICA,46.8,Amar Makhloufi,1235394946,Stub
Algeria,NORTHERN AFRICA,46.8,Yassine Merabi,1214841607,Stub
Algeria,NORTHERN AFRICA,46.8,Brahim Merad,1244511083,Start
Algeria,NORTHERN AFRICA,46.8,Bachir Messaitfa,1186318318,Stub
Algeria,NORTHERN AFRICA,46.8,Azzedine Mihoubi,1233387309,Start
Algeria,NORTHERN AFRICA,46.8,Mohamed Ali Boughazi,1213870570,Start
Algeria,NORTHERN AFRICA,46.8,Amar Mohammedi,1226279231,Start
Algeria,NORTHERN AFRICA,46.8,Samia Moualfi,1212181372,Stub
Algeria,NORTHERN AFRICA,46.8,Soraya Mouloudji,1226335614,Stub
Algeria,NORTHERN AFRICA,46.8,Yacine Oualid,1214837789,Stub
Algeria,NORTHERN AFRICA,46.8,Cherif Rahmani,1053461144,Stub
Algeria,NORTHERN AFRICA,46.8,Lakhdar Rakhroukh,1186317568,Stub
Algeria,NORTHERN AFRICA,46.8,Laid Rebiga,1248662394,Stub
Algeria,NORTHERN AFRICA,46.8,Kamel Rezig,1215901775,Stub
Algeria,NORTHERN AFRICA,46.8,Salim Saadi,1229426851,Stub
Algeria,NORTHERN AFRICA,46.8,Abdelhak Saihi,1218004839,Stub
Algeria,NORTHERN AFRICA,46.8,Hichem Sofiane Salaouatchi,1212186286,Stub
Algeria,NORTHERN AFRICA,46.8,Naima Salhi,1213404244,Stub
Algeria,NORTHERN AFRICA,46.8,Abderezak Sebgag,1212579707,Stub
Algeria,NORTHERN AFRICA,46.8,Abderrachid Tabbi,1218530483,Stub
Algeria,NORTHERN AFRICA,46.8,Karim Bibi Triki,1213794210,Start
Algeria,NORTHERN AFRICA,46.8,Layachi Yaker,1226060720,Start
Algeria,NORTHERN AFRICA,46.8,Ahmed Zeghdar,1213778323,Stub
Angola,MIDDLE AFRICA,36.7,Adão Francisco Correia de Almeida,1209524394,Stub
Angola,MIDDLE AFRICA,36.7,Ana Paula Chantre Luna de Carvalho,1209514022,Stub
Angola,MIDDLE AFRICA,36.7,Alexandre Sebastião André,1172178750,Stub
Angola,MIDDLE AFRICA,36.7,Paulino Baptista,1242307496,Start
Angola,MIDDLE AFRICA,36.7,Bernarda Gonçalves Martins,1210193481,Stub
Angola,MIDDLE AFRICA,36.7,João Baptista Borges,1227794006,C
Angola,MIDDLE AFRICA,36.7,Carolina Cerqueira,1241977204,C
Angola,MIDDLE AFRICA,36.7,Arlete Chimbinda,1177486404,Start
Angola,MIDDLE AFRICA,36.7,Kafundanga Chingunji,1191431794,Stub
Angola,MIDDLE AFRICA,36.7,Jeremias Chitunda,1220287872,Start
Angola,MIDDLE AFRICA,36.7,Abel Chivukuvuku,1165626565,Start
Angola,MIDDLE AFRICA,36.7,Fiel Domingos Constantino,1217387083,Stub
Angola,MIDDLE AFRICA,36.7,Adalberto Costa Júnior,1244123151,Stub
Angola,MIDDLE AFRICA,36.7,Adjany Costa,1242000475,Start
Angola,MIDDLE AFRICA,36.7,Álvaro Arnaldo Craveiro,1194150567,Stub
Angola,MIDDLE AFRICA,36.7,Raul Danda,1158035855,Stub
Angola,MIDDLE AFRICA,36.7,Diamantino Pedro Azevedo,1209522689,Stub
Angola,MIDDLE AFRICA,36.7,Faustina Fernandes Inglês de Almeida Alves,1251032908,Stub
Angola,MIDDLE AFRICA,36.7,Abraão Gourgel,1124441544,Stub
Angola,MIDDLE AFRICA,36.7,Jofre Van-Dúnem Júnior,1242307432,Stub
Angola,MIDDLE AFRICA,36.7,José Carvalho da Rocha,1242307441,Stub
Angola,MIDDLE AFRICA,36.7,José Luis de Matos,1242307337,Stub
Angola,MIDDLE AFRICA,36.7,Kambamba Kulaxingo,1093124425,Stub
Angola,MIDDLE AFRICA,36.7,Jesus Faria Maiato,1209631313,Stub
Angola,MIDDLE AFRICA,36.7,Manuel Neto da Costa,1209411144,Stub
Angola,MIDDLE AFRICA,36.7,Manuel Tavares de Almeida,1209411217,Stub
Angola,MIDDLE AFRICA,36.7,Marcos Alexandre Nhunga,1209413818,Stub
Angola,MIDDLE AFRICA,36.7,Maria Cândida Pereira Teixeira,1218506469,Stub
Angola,MIDDLE AFRICA,36.7,Maria do Rosário Teixeira de Alva Sequeira Bragança Sambo,1209513699,Stub
Angola,MIDDLE AFRICA,36.7,David Mendes,1024544204,Stub
Angola,MIDDLE AFRICA,36.7,Saíde Mingas,1251004422,GA
Angola,MIDDLE AFRICA,36.7,Fernando Faustino Muteka,1241977176,Stub
Angola,MIDDLE AFRICA,36.7,Pedro Mutinde,1209539718,Start
Angola,MIDDLE AFRICA,36.7,José Ndele,1154991360,Stub
Angola,MIDDLE AFRICA,36.7,Ana Paula Sacramento Neto,1227909121,Stub
Angola,MIDDLE AFRICA,36.7,Daniel Ntongi-Nzinga,1187961349,Stub
Angola,MIDDLE AFRICA,36.7,Paula Cristina Francisco Coelho,1209410923,Stub
Angola,MIDDLE AFRICA,36.7,Pedro Pedalé,1115715527,Stub
Angola,MIDDLE AFRICA,36.7,Elias Salupeto Pena,1220287990,Start
Angola,MIDDLE AFRICA,36.7,Johnny Eduardo Pinnock,1242307359,Stub
Angola,MIDDLE AFRICA,36.7,Santana André Pitra,1165626399,Stub
Angola,MIDDLE AFRICA,36.7,Francisco Manuel Monteiro de Queiróz,1250824530,Stub
Angola,MIDDLE AFRICA,36.7,José Aníbal Lopes Rocha,1242307479,Stub
Angola,MIDDLE AFRICA,36.7,José da Rocha,1153488959,Stub
Angola,MIDDLE AFRICA,36.7,Rosa Luís de Sousa Micolo,1246271741,Stub
Angola,MIDDLE AFRICA,36.7,Luís Gomes Sambo,1242306989,Start
Angola,MIDDLE AFRICA,36.7,Branca Manuel Espirito Santo,1142474441,Stub
Angola,MIDDLE AFRICA,36.7,João Ernesto dos Santos,1226309621,Stub
Angola,MIDDLE AFRICA,36.7,José Filomeno dos Santos,1228399791,C
Angola,MIDDLE AFRICA,36.7,Jonas Savimbi,1246026420,GA
Angola,MIDDLE AFRICA,36.7,Pinda Simão,1118804168,Stub
Angola,MIDDLE AFRICA,36.7,Manuel Bernardo de Sousa,1233607984,Stub
Angola,MIDDLE AFRICA,36.7,Augusto da Silva Tomás,1219179734,Stub
Angola,MIDDLE AFRICA,36.7,José Jacinto Van-Dúnem,1242841039,C
Angola,MIDDLE AFRICA,36.7,José Vieira Dias Van-Dúnem,1227004140,Stub
Angola,MIDDLE AFRICA,36.7,Luzia Inglês Van-Dúnem,1240720719,Start
Angola,MIDDLE AFRICA,36.7,Manuel Vicente,1250493481,C
Angola,MIDDLE AFRICA,36.7,Mfulupinga Nlando Victor,1243272129,Start
Antigua and Barbuda,CARIBBEAN,0.1,Clement Antonio,1241563106,Stub
Antigua and Barbuda,CARIBBEAN,0.1,Randolph Beazer,1247631912,Stub
Antigua and Barbuda,CARIBBEAN,0.1,Studiation Brown,825090349,Stub
Antigua and Barbuda,CARIBBEAN,0.1,Alex Browne (politician),1247631794,Stub
Antigua and Barbuda,CARIBBEAN,0.1,Colin O'Neil Browne,1241563118,Stub
Antigua and Barbuda,CARIBBEAN,0.1,James Carlisle,1242152285,C
Antigua and Barbuda,CARIBBEAN,0.1,Gail Christian,1241563122,Start
Antigua and Barbuda,CARIBBEAN,0.1,Mackenzie Frank,1247632329,Stub
Antigua and Barbuda,CARIBBEAN,0.1,Osbert Richard Frederick,1241563130,Start
Antigua and Barbuda,CARIBBEAN,0.1,Caleb Gardiner,1241563135,Stub
Antigua and Barbuda,CARIBBEAN,0.1,Shenella Mary Shadida Govia,1241563138,Stub
Antigua and Barbuda,CARIBBEAN,0.1,William Haynes-Smith,1250666577,C
Antigua and Barbuda,CARIBBEAN,0.1,Tim Hector,1227026341,C
Antigua and Barbuda,CARIBBEAN,0.1,Cheryl Mary Clare Hurst,1242813942,Stub
Antigua and Barbuda,CARIBBEAN,0.1,Wilfred Jacobs,1246340247,Stub
Antigua and Barbuda,CARIBBEAN,0.1,Rick James (actor),1213836084,C
Antigua and Barbuda,CARIBBEAN,0.1,Kiz Johnson,1247632301,Stub
Antigua and Barbuda,CARIBBEAN,0.1,Fabian Jones,1247632282,Stub
Antigua and Barbuda,CARIBBEAN,0.1,Johnathan Joseph (politician),1241563151,Stub
Antigua and Barbuda,CARIBBEAN,0.1,Kelvin Simon,1241592202,Start
Antigua and Barbuda,CARIBBEAN,0.1,Harold Lovell,1241564680,Start
Antigua and Barbuda,CARIBBEAN,0.1,Edmond Mansoor,1248648606,Start
Antigua and Barbuda,CARIBBEAN,0.1,David Massiah,1247632248,Stub
Antigua and Barbuda,CARIBBEAN,0.1,Joanne Massiah,1241592526,Stub
Antigua and Barbuda,CARIBBEAN,0.1,Dwayne George,1247631631,Stub
Antigua and Barbuda,CARIBBEAN,0.1,Knacyntar Nedd,1247514093,Stub
Antigua and Barbuda,CARIBBEAN,0.1,Melford Nicholas,1241592535,Start
Antigua and Barbuda,CARIBBEAN,0.1,Shawn Nicholas,1247632364,Stub
Antigua and Barbuda,CARIBBEAN,0.1,Bernard Percival,1241564686,Stub
Antigua and Barbuda,CARIBBEAN,0.1,Jamale Pringle,1241592215,Stub
Antigua and Barbuda,CARIBBEAN,0.1,Philip Shoul,1247632342,Stub
Antigua and Barbuda,CARIBBEAN,0.1,Rawdon Turner,1247632346,Stub
Antigua and Barbuda,CARIBBEAN,0.1,Alincia Williams-Grant,1241592542,Start
Argentina,SOUTH AMERICA,46.3,Juan Alemann,1227499891,Stub
Argentina,SOUTH AMERICA,46.3,Germán Alfaro,1223272051,C
Argentina,SOUTH AMERICA,46.3,Joaquín Samuel de Anchorena,1227458965,Start
Argentina,SOUTH AMERICA,46.3,Juan Agustín Augier,1217815148,Stub
Argentina,SOUTH AMERICA,46.3,Uladislao Augier,1217815124,Stub
Argentina,SOUTH AMERICA,46.3,Marco Aurelio Avellaneda,1233010330,Start
Argentina,SOUTH AMERICA,46.3,Joaquín Belgrano,1229623675,Start
Argentina,SOUTH AMERICA,46.3,Antonio Bermejo,1225811362,Start
Argentina,SOUTH AMERICA,46.3,Antonio Beruti,1243926512,Start
Argentina,SOUTH AMERICA,46.3,Héctor Bidonde,1250713562,Start
Argentina,SOUTH AMERICA,46.3,Silvano Bores,1225775647,Stub
Argentina,SOUTH AMERICA,46.3,Exequiel Bustillo,1188044851,Start
Argentina,SOUTH AMERICA,46.3,Mario Cafiero,1135193654,Stub
Argentina,SOUTH AMERICA,46.3,Alberto Manuel Campos,1166331326,Start
Argentina,SOUTH AMERICA,46.3,Alejo Castex,1231276700,C
Argentina,SOUTH AMERICA,46.3,Dámaso Centeno,1245130520,Stub
Argentina,SOUTH AMERICA,46.3,Rossana Chahla,1227517224,C
Argentina,SOUTH AMERICA,46.3,Lázaro Chiappe,1232135530,Stub
Argentina,SOUTH AMERICA,46.3,Carlos Corach,1227620960,Stub
Argentina,SOUTH AMERICA,46.3,Jorge Coscia,1227459720,Stub
Argentina,SOUTH AMERICA,46.3,Carlos de la Rosa,1209668330,Stub
Argentina,SOUTH AMERICA,46.3,Juan Carlos Del Bello,1225784914,Stub
Argentina,SOUTH AMERICA,46.3,Luis L. Domínguez,1234469779,C
Argentina,SOUTH AMERICA,46.3,Máximo Etchecopar,1243279888,Start
